lighting,method,params,mean_error,std_error,avg_time_ms,fps
normal,none,{},1.9266,1.2221,3.2187,310.68
normal,he,{},1.9399,1.2332,2.6704,374.48
normal,clahe,{'clip_limit': 2.0},5.692,2.6539,2.8235,354.17
normal,clahe,{'clip_limit': 4.0},5.692,2.6539,2.7196,367.7
normal,ssr,{'sigma': 15},4.6842,2.3665,2.983,335.24
normal,ssr,{'sigma': 30},4.501,2.3148,3.2141,311.13
normal,ssr,{'sigma': 60},4.48,2.3135,3.5679,280.27
normal,msr,"{'sigmas': [15, 80, 250]}",4.5133,2.3225,8.5104,117.5
normal,msr,"{'sigmas': [30, 100, 300]}",4.4828,2.3131,10.0545,99.46
normal,msrcr,{},4.5133,2.3225,8.7988,113.65
normal,zerodce,{},2.1757,1.3469,7.7073,129.75
normal,enlightengan,{},2.5701,1.5974,20.6607,48.4
normal,mirnet,{},2.906,1.693,494.1769,2.02
low_i,none,{},6.6754,3.5351,2.7086,369.2
low_i,he,{},4.8143,2.5931,2.6824,372.79
low_i,clahe,{'clip_limit': 2.0},4.8428,2.6128,2.9182,342.68
low_i,clahe,{'clip_limit': 4.0},4.8428,2.6128,2.8951,345.41
low_i,ssr,{'sigma': 15},4.3293,2.2946,3.1696,315.5
low_i,ssr,{'sigma': 30},4.4204,2.4114,3.4192,292.46
low_i,ssr,{'sigma': 60},4.5138,2.4741,3.8756,258.02
low_i,msr,"{'sigmas': [15, 80, 250]}",4.4096,2.4004,8.9338,111.93
low_i,msr,"{'sigmas': [30, 100, 300]}",4.4852,2.4568,10.3434,96.68
low_i,msrcr,{},4.4096,2.4004,9.009,111.0
low_i,zerodce,{},6.4335,3.2773,7.9758,125.38
low_i,enlightengan,{},3.833,2.2607,21.7958,45.88
low_i,mirnet,{},6.2244,3.1617,491.4332,2.03
low_g,none,{},6.9422,3.7819,2.7058,369.58
low_g,he,{},4.022,2.2783,2.5939,385.52
low_g,clahe,{'clip_limit': 2.0},4.5656,2.475,2.9335,340.88
low_g,clahe,{'clip_limit': 4.0},4.5656,2.475,3.0523,327.62
low_g,ssr,{'sigma': 15},3.0938,1.845,3.1483,317.64
low_g,ssr,{'sigma': 30},3.3154,1.9928,3.3499,298.51
low_g,ssr,{'sigma': 60},3.5638,2.126,3.7644,265.65
low_g,msr,"{'sigmas': [15, 80, 250]}",3.2704,1.9613,8.7195,114.69
low_g,msr,"{'sigmas': [30, 100, 300]}",3.4875,2.0933,10.1665,98.36
low_g,msrcr,{},3.2704,1.9613,8.8036,113.59
low_g,zerodce,{},6.3636,3.3757,7.613,131.35
low_g,enlightengan,{},4.1061,2.1665,19.9485,50.13
low_g,mirnet,{},6.9329,3.7455,495.2895,2.02
low_left,none,{},5.6995,2.3527,2.7585,362.51
low_left,he,{},2.6339,1.4652,2.6092,383.25
low_left,clahe,{'clip_limit': 2.0},5.5551,2.4992,2.9058,344.14
low_left,clahe,{'clip_limit': 4.0},5.5551,2.4992,3.0754,325.16
low_left,ssr,{'sigma': 15},4.3202,2.2221,3.0599,326.81
low_left,ssr,{'sigma': 30},4.2353,2.1398,3.3559,297.99
low_left,ssr,{'sigma': 60},4.1997,2.1199,3.7727,265.07
low_left,msr,"{'sigmas': [15, 80, 250]}",4.252,2.1445,8.6498,115.61
low_left,msr,"{'sigmas': [30, 100, 300]}",4.2122,2.1275,10.1354,98.66
low_left,msrcr,{},4.252,2.1446,8.8034,113.59
low_left,zerodce,{},3.4931,1.6646,7.5548,132.37
low_left,enlightengan,{},2.6883,1.6227,19.8981,50.26
low_left,mirnet,{},3.5052,1.7915,493.4177,2.03
low_right,none,{},4.0878,1.9428,2.7032,369.93
low_right,he,{},3.442,1.6677,2.5922,385.78
low_right,clahe,{'clip_limit': 2.0},6.3522,2.8266,2.9221,342.22
low_right,clahe,{'clip_limit': 4.0},6.3522,2.8266,2.8961,345.29
low_right,ssr,{'sigma': 15},4.2982,2.2253,3.142,318.27
low_right,ssr,{'sigma': 30},4.3418,2.1621,3.5297,283.31
low_right,ssr,{'sigma': 60},4.4706,2.1747,3.7847,264.22
low_right,msr,"{'sigmas': [15, 80, 250]}",4.3494,2.1736,8.6762,115.26
low_right,msr,"{'sigmas': [30, 100, 300]}",4.4296,2.1704,10.1416,98.6
low_right,msrcr,{},4.3495,2.1736,8.7958,113.69
low_right,zerodce,{},4.0252,1.6753,7.5218,132.95
low_right,enlightengan,{},3.2402,1.8806,19.7668,50.59
low_right,mirnet,{},3.9502,1.7966,496.2004,2.02
low_i_g_left,none,{},7.6811,3.8463,2.7154,368.27
low_i_g_left,he,{},7.4173,3.9012,2.6425,378.43
low_i_g_left,clahe,{'clip_limit': 2.0},7.1893,3.6054,2.908,343.88
low_i_g_left,clahe,{'clip_limit': 4.0},7.1893,3.6054,2.9444,339.63
low_i_g_left,ssr,{'sigma': 15},7.1632,3.8379,3.0853,324.12
low_i_g_left,ssr,{'sigma': 30},7.375,3.9363,3.3067,302.42
low_i_g_left,ssr,{'sigma': 60},7.4599,3.9165,4.0067,249.58
low_i_g_left,msr,"{'sigmas': [15, 80, 250]}",7.3931,3.9799,8.6338,115.82
low_i_g_left,msr,"{'sigmas': [30, 100, 300]}",7.2565,3.8354,10.1201,98.81
low_i_g_left,msrcr,{},7.3931,3.9799,8.7519,114.26
low_i_g_left,zerodce,{},7.412,3.5635,7.6653,130.46
low_i_g_left,enlightengan,{},7.2609,3.4325,19.4761,51.34
low_i_g_left,mirnet,{},7.5538,3.7595,494.6584,2.02
low_i_g_right,none,{},7.7302,3.5747,2.7668,361.43
low_i_g_right,he,{},7.9579,4.2433,2.5893,386.2
low_i_g_right,clahe,{'clip_limit': 2.0},6.946,3.3831,2.9911,334.32
low_i_g_right,clahe,{'clip_limit': 4.0},6.946,3.3831,2.9347,340.75
low_i_g_right,ssr,{'sigma': 15},7.4924,3.7855,3.0732,325.4
low_i_g_right,ssr,{'sigma': 30},7.3786,4.0117,3.2986,303.16
low_i_g_right,ssr,{'sigma': 60},8.0018,4.2623,3.7446,267.05
low_i_g_right,msr,"{'sigmas': [15, 80, 250]}",7.0485,3.8321,8.6811,115.19
low_i_g_right,msr,"{'sigmas': [30, 100, 300]}",7.7792,4.1712,10.1254,98.76
low_i_g_right,msrcr,{},7.0485,3.8321,8.7701,114.02
low_i_g_right,zerodce,{},7.6102,3.7326,7.5744,132.02
low_i_g_right,enlightengan,{},6.9259,3.4802,19.7383,50.66
low_i_g_right,mirnet,{},7.5836,3.8072,496.8264,2.01
